frame,id,score,tti
30,2,0.2844,999
30,0,0.2799,999
30,3,0.2076,999
30,1,0.1935,999
60,2,0.2791,999
60,0,0.274,999
60,3,0.1941,999
60,1,0.1908,999
60,4,0.1348,999
90,5,0.2726,999
90,2,0.2693,999
90,0,0.2685,999
90,3,0.1961,999
90,1,0.1886,999
120,5,0.2667,999
120,0,0.2626,999
120,2,0.2586,999
120,3,0.197,999
120,1,0.1855,999
